"","year","trait","GEN","value"
"708",17,"FNt","L1291",5.19253283
"709",17,"FNt","L0915",4.68677648
"710",17,"FNt","L1072",4.85972813
"711",17,"FNt","L1075",3.53214847
"712",17,"FNt","L0028",4.06901328
"713",17,"FNt","L0376",5.35341092
"714",17,"FNt","L0655",5.15988495
"715",17,"FNt","L0449",5.20927034
"716",17,"FNt","L0622",4.95403136
"717",17,"FNt","L1335",5.04430212
"718",17,"FNt","L1366",4.99714179
"719",17,"FNt","L0203",4.74203274
"720",17,"FNt","L1223",4.62707635
"721",17,"FNt","L0862",4.40939547
"722",17,"FNt","L1258",5.52814042
